feature,importance_gain,importance_split
corr_grp_CURVA_JUROS_wgt,8,8
micro_positive_streak,7,7
ind_RSI_14_val_delta5,7,7
ind_RSI_14_val_lag3,7,7
corr_grp_INDICES_GLOBAIS_wgt,7,7
sym_WSP_N_chg,7,7
price_vs_pivot_pct,7,7
sym_IVVB11_score,6,6
corr_grp_ACOES_BRASIL_wgt,6,6
ind_RSI_14_val_roll10_ema,6,6
vwap_upper_2sigma,6,6
corr_grp_EMERGENTES_score,5,5
sym_BOVA11_chg,5,5
corr_grp_RISCO_PAIS_score,4,4
corr_grp_INDICES_BRASIL_score,4,4
corr_grp_JUROS_RENDA_FIXA_score,4,4
corr_grp_FLUXO_MICROESTRUTURA_score,4,4
macro_score_final_roll5_std,4,4
corr_grp_PETROLEO_ENERGIA_wgt,3,3
macro_score_final_roll5_mean,3,3
dist_pivot_s1_pct,3,3
macro_score_final_delta1,3,3
micro_score,3,3
corr_grp_std_score,2,2
inter_rsi_x_smc,2,2
corr_grp_FOREX_score,2,2
dist_pivot_r1_pct,2,2
corr_grp_RISCO_PAIS_wgt,2,2
micro_score_delta5,2,2
sym_DI1F27_chg,2,2
corr_grp_VOLATILIDADE_chg,1,1
micro_score_delta1,1,1
corr_grp_EMERGENTES_wgt,1,1
corr_grp_CRIPTOMOEDAS_score,1,1
micro_trend,1,1
macro_score_final_roll5_pos,1,1
sym_DOL_N_chg,1,1
corr_grp_FLUXO_MICROESTRUTURA_wgt,1,1
micro_score_delta3,0,0
inter_bull_bear_ratio,0,0
inter_macro_x_vol,0,0
pivot_pp,0,0
pivot_r1,0,0
sym_WIN_N_score,0,0
corr_grp_JUROS_RENDA_FIXA_wgt,0,0
pivot_r2,0,0
pivot_r3,0,0
sym_WDO_N_chg,0,0
corr_grp_INDICES_BRASIL_wgt,0,0
pivot_s1,0,0
sym_WSP_N_score,0,0
corr_grp_consensus,0,0
corr_grp_n_positive,0,0
sym_HSI_score,0,0
sym_BBAS3_score,0,0
sym_BOVA11_score,0,0
sym_DI1F27_score,0,0
sym_DI1_N_score,0,0
sym_DOL_N_score,0,0
dist_pivot_r2_pct,0,0
sym_PETR4_score,0,0
sym_WDO_N_score,0,0
sym_PRIO3_score,0,0
sym_VALE3_score,0,0
macro_positive_streak,0,0
bias_agreement,0,0
bias_sum,0,0
ind_ADX_14_score,0,0
corr_grp_INDICADORES_TECNICOS_wgt,0,0
price_in_range_pct,0,0
ind_BB_POSITION_score,0,0
volume_score_lag3,0,0
corr_grp_DOLAR_CAMBIO_score,0,0
corr_grp_DOLAR_CAMBIO_wgt,0,0
corr_grp_CRIPTOMOEDAS_wgt,0,0
corr_grp_COMMODITIES_wgt,0,0
corr_grp_VOLATILIDADE_score,0,0
volume_score_lag1,0,0
volume_score_lag5,0,0
ind_EMA_9_score,0,0
corr_grp_INDICADORES_TECNICOS_score,0,0
volume_score_lag10,0,0
smc_bos_score_lag1,0,0
smc_bos_score_lag3,0,0
smc_bos_score_lag5,0,0
smc_bos_score_lag10,0,0
corr_grp_COMMODITIES_score,0,0
macro_bias,0,0
candle_pattern_score,0,0
obv_score,0,0
volume_score,0,0
win_open_price,0,0
smc_equilibrium_score,0,0
dia_semana,0,0
micro_score_roll5_pos,0,0
smc_equilibrium,0,0
smc_bos_score,0,0
corr_grp_FOREX_wgt,0,0
smc_direction,0,0
pivot_s3,0,0
pivot_s2,0,0
corr_grp_VOLATILIDADE_wgt,0,0
ind_RSI_14_score,0,0
mercado_us_aberto,0,0
